japanese,chinese
何,什么
あ,啊
あなた,你
言,单词
行,线
人,男人
知,知识
事,案件
彼女,女朋友
お前,你
話,讲话
来,未来
分か,分配
者,人
聞,听力
死,死亡
時,时间
ああ,哦
殺,杀人
前,前
中,在〜期间
必要,需要
あの,那
気,空气
大丈夫,美好的
自分,我
持,保持
本当,真的
時間,时间
我々,我们
一,一
的,故意的
無,没有
ありがとう,谢谢
家,房子
会,会议
日,天
年,年
仕事,职位
手,手
一緒,一起
後,后部
出来,好的
他,其他
入,进入
電話,电话
目,眼睛
様,先生
分,部分
車,车
所,地方
あんた,你
度,每次
同じ,相同的
場所,地方
問題,问题
子供,孩子
愛,爱
金,钱
名前,名称
子,孩子
信,宗教
さあ,开始了
少し,一点点
使,利用
全て,全部
世界,世界
教え,课
通り,街道
来る,来
上,向上
入れ,进来
人間,人类
行け,去
今日,今天
物,东西
女,女士
呼,称呼
生き,生活
あれ,那
じゃあ,然后
止め,停止
心配,焦虑
母,母亲
連れ,伴侣
関係,关系
外,外部
家族,家庭
起き,上升
意味,意义
神,上帝
力,力量
最後,最后的
作,工作
次,下一个
息子,儿子
取,拿
全部,全部
間,尽管
書,书
捜査,调查
起こ,上升
回,时代
別,其他
情報,信息
理由,原因
数,数字
一人,一个人
部屋,房间
以上,就这样
人生,生活
急,突然
食べ,吃
女性,女士
続け,继续
事件,案件
始め,开始
最初,第一次
連絡,接触
まあ,哦亲爱的
調べ,调查
安全,安全
下さ,闹剧
楽し,乐趣
殺人,谋杀
下,在下面
万,万
友達,朋友
約束,承诺
二,二
結婚,婚姻
無理,不合理
感じ,感觉
得,益处
最高,最好
送,发送
計画,计划
仲間,朋友
先,优先
可能,可能的
あいつ,那个人
あと,后
明日,明天
変わ,改变
聞こえ,听到
確認,确认
命,生活
着,穿着
与え,给予
全員,全部
動,移动
理解,理解
開け,打开
友人,朋友
機,机器
不,空前的
あげ,获得
離れ,告别
戦,战争
先生,老师
言え,说
質問,问题
置,地方
犯人,罪魁祸首
受け,已收到
感,感觉
第,第一的
伝え,输送带
素晴らし,精彩的
ドア,门
本,书
乗,登机
用,为了
感謝,感激
正し,正确的
言葉,字
大,大
立,站起来
写真,照片
説明,解释
博士,医生
強,力量
絶対,绝对地
座,座位
国,国家
向か,对面的
名,名称
ある,是
野郎,老板
番,秩
一番,第一
重要,重要的
状況,情况
元気,活力
水,水
変え,改变
十分,充足的
週間,星期
やあ,你好
父親,父亲
間違い,错误
王,王
了解,收到
相手,伙伴
員,成员
声,语音
会え,遇到
音,声音
多く,许多
消え,消失
会社,公司
簡単,简单的
選,选择
残念,令人失望
自由,自由
自身,他们自己
一体,不可缺少的
人々,人们
報告,报告
読,读
過ぎ,超过
通,通道
アメリカ,美国
元,起源
命令,命令
高,高的
体,身体
大統領,总统
月,月亮
警官,警官
語,单词
学校,学校
対,相对
決め,决定
真実,真相
初めて,第一次
口,嘴
大変,难的
要,钥匙
変,奇怪的
戦争,战争
学,学习
あそこ,在那边
武器,武器
店,店铺
母親,母亲
刑事,刑事
気持ち,感觉
間違,错误
運,运气
記録,记录
光,光
手伝,帮助
深,深的
落ち着,平静
存在,存在
実,水果
役,角色
病院,医院
住,住宅
責任,责任
あっ,啊
普通,通常
行動,行为
大きな,大
監視,监视
協力,合作
多分,或许
実際,实际的
足,腿
地球,地球
生活,生活
任せ,离开
気分,感觉
解決,解决方案
結果,结果
調査,研究
研究,研究
何処,在哪里
発見,发现
場,地方
大事,重要的
止ま,停下来
興味,兴趣
大き,大
生,生的
なあ,什么
運転,驾驶
ヶ月,月份
多,许多
番号,数字
状態,状态
来い,来
開,打开
上手,好的
済,已经
場合,案件
刑務,惩罚
今度,下次
以外,除了
朝,早晨
飛行,飞行
あまり,并不真地
近く,不久
後ろ,在后面
目的,目的
歌,歌曲
面白,乐趣
弁護,防御
客,顾客
売,出售
特別,特别的
昨日,昨天
少な,小的
認め,认出
死体,尸体
医者,医生
装置,设备
共,两个都
唯一,仅有的
あんな,这样的事情
不明,不清楚
限り,只要
信用,信用
美し,美丽的
用意,准备
話せ,讲话
移動,移民
映画,电影
美咲,美丽
取引,交易
最近,最近
現場,地点
事故,事故
連中,人们
過去,过去的
全く,一点也不
選択,选择
完全,完美的
信じ,信仰
信頼,相信
町,镇
何故,为什么
始ま,开始
精神,精神
付け,依恋
あら,缺点
女の子,女孩
気づ,意识
記憶,记忆
頑張,用功
素敵,灿烂
身,身体
価値,值得
有,存在
非常,非正式
三,三
最も,最多
両親,父母
人物,人
生まれ,出生
警備,安全
以前,前
無事,安全
聞け,听到
決して,绝不
銀行,银行
馬鹿,傻子
裁判,审判
降り,掉下来
大学,大学
州,状态
今回,这次
空,天空
経験,经验
本物,真实的东西
部,部门
化,转换
未来,未来
正直,诚实
年間,年
無駄,无用
現れ,外貌
島,岛
病気,疾病
内,里面
風,风
結構,很好
治療,治疗
予定,日程
点,观点
許可,允许
勇気,勇气
最悪,糟糕的
本気,严肃
全然,根本
任務,使命
日本,日本
作戦,手术
成功,成功
進,程序
近づ,关闭
品,物品
消,熄灭
小さな,小的
科学,科学
放,宽慰
向こう,穿过
事実,事实
食,食物
関,关系
戦い,斗争
少年,男生
爆発,爆炸
現実,真实的
保護,保护
地下,地下
隊,兵团
地,地球
別れ,告别
時代,时代
使え,有用
組織,组织
式,公式
落ち着け,平静
動物,动物
無し,没有任何
下が,以下
技術,技术
個人,个人
期待,期待
線,线
局,局
利用,利用
主人,掌握
館,大厦
毎日,每天
付,随附的
当然,当然
患者,病人
全,全部
今朝,今天早上
過ご,开支
馬,马
あー,啊
あたし,我
立て,起来
地獄,地狱
合,机构
続,延续
陛下,陛下
小さ,小的
火,火
平気,冷静的
世話,关心
能力,能力
理子,瑞科
検査,测试
木,木头
号,问题
山,山
解,解决方案
警部,警官
食事,一顿饭
幸運,运气
構,战略
侵入,入侵
駄目,无用
緊急,紧急情况
親父,父亲
気付,关心
主,主要的
速,快速地
代わり,代替
休,休息
原因,原因
